company,job-title,level,description,url
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764241327
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764605056
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764238563
Oakridge Staffing,Python Developer,Mid-Senior level,"Direct message the job poster from Oakridge Staffing





            
        Alex Brensilver





 










Our alternative asset firm is looking to add a strong Python Developer. While we don't need financial services experience, a background that has demonstrated taking projects through completion is needed. 3+ year’s work experience (preferably in financial sector though not must)ideally Computer Science



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Information Technology
          



            Industries
          

          Financial Services
          
















Referrals increase your chances of interviewing at Oakridge Staffing by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3737981283
tekHouse,Python Developer- onsite,Entry level,"Title:  Python DeveloperLocation:  New York, NYDuration: 18-24 + monthsRequirementsPrimary SkillPythonSecondary SkillTertiary SkillRequired SkillsStructured software development experience (3 years+ python preferred, but were open to other OO languages)Solid communication skills, with the ability to develop strong relationships with the businessCollaborative software development approachSelf-motivated and driven to provide solutions for complicated problems, both technical and financialDesired SkillsExperience with pricing and analytics for Commodities derivatives, or other financial asset classesExperience working on (or closely with) a trading desk at a bank or on the buy sideExperience with Agile development practicesBenefitsExperience with LEAN methodologies Frequently Asked Questions:Benefits? Yes, you can enroll in our corporate discount benefits packageRemote Workers? Start out remote and expected to go into the office on a hybrid schedule so local or willing to relocate at your own expense. NO 100% REMOTEVisa Sponsorship? Not offeredCorp-to-Corp? Not eligible



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Contract
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Technology, Information and Internet
          
















Referrals increase your chances of interviewing at tekHouse by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3603758922
ASCENDING Inc.,Python SDET / Developer,Mid-Senior level,"Our client, one of the largest Amazon Web Services (AWS) partners for data services, is looking for Jr to Senior level Python SDETs to contribute to join their team of technologists to build and contribute to large-scale, innovative projects.To be successful as an SDET, you should have excellent time management and organizational skills as well as strong communication skills. You should have a passion for designing, development, and testing and the ability to upgrade your technical skills within the constantly changing technology sector. This role is only available for W2 or individuals contracts. Please no C2C. 100% Remote Work. Responsibilities:Understanding the flow of code and how it interacts with different components.Develop/Manage automation code, data sets, scripts, utilities.Create and execute functional and non-functional moderate to complex tests cases and solutions. Based on test strategies and test plans. Effectively communicate testing activities and findings in oral and written formats.Create and execute functional and non functional tests solutions.Participate in product code reviews.Requirements:Minimum 3 year of proven experience working in the US.Degree in Computer Science or related domains.Able to write/debug code in Python.bash & solid Linux OS. Jenkins/ gitProficiency in SQL and relational database design.AWS knowledge preferred.Test Data creation/Data Driven Testing knowledge or experience.Automation testing tool is a big plus.Exposure to Agile environment.Good communication skills, team worker, faster learner.A passion for testing, development, and design.Thanks for applying!Powered by JazzHRh6z2mHBlny
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Internet Publishing
            
















Referrals increase your chances of interviewing at ASCENDING Inc. by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3817448193
Saransh Inc,Python Developer,Mid-Senior level,"Non-negotiable: Python, API development, RDBMS, multi-tier systems/deployments, Linux or OSX Healthcare Domain Experience Is MUST.Preferred : HL7 experience, EPIC integration""



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          IT Services and IT Consulting and Information Services
          
















Referrals increase your chances of interviewing at Saransh Inc by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3714153954
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Staffing and Recruiting
          
















Referrals increase your chances of interviewing at MindPal by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764239594
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at MindPal by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764239585
"INDUS Technology, Inc.",Python Developer,Associate,"Direct message the job poster from INDUS Technology, Inc.





            
        Joey Tompkins




              
        Senior Manager, Talent Acquisition & Development at INDUS Technology
      
            

 










The Team and the RoleINDUS is a 100% employee-owned, customer-focused government services provider with expertise in Engineering, Information Technology, Cybersecurity, Program/Financial Management, Logistics, and Data Analytics. At INDUS, we believe in the value of the INDUS team. Together we deliver exceptional customer service, foster a growth and support-centered work environment, and focus on how we can give back to the communities that we serve. Empowering our employees starts on day one and creates an environment full of innovation and promise. By offering mentorship and robust Training and Development opportunities, INDUS continues its pursuit to be the Employer of Choice.The Shore and Expeditionary Integration Program Office (PMW 790) is acquiring support services in the areas of production systems engineering, logistics, installation management, and integration/planning/requirements services for the architecture, integration, acquisition, and support of multiple shore and expeditionary Command, Control, Communications, Computers, and Intelligence (C4I) programs. PMW 790's mission is to acquire, integrate, deliver, and support interoperable shore-based C4I capabilities for the warfighter. PMW 790’s vision is to be the preeminent provider of integrated shore-based transformational Network Centric Warfare capabilities to the warfighter by providing assured connectivity between tactical forces and higher commands.Reporting to the Program Manager, the Python Programmer is responsible for designing, developing, and maintaining web applications using Django supporting the U.S. Navy on the PMW 790 Shore and Expeditionary Integration Program Office Planning and Logistics Support Services contract. The ideal candidate has a strong Python and Django background and has prior experience collaborating with cross-functional teams to deliver high-quality software solutions. This position is located in San Diego, CA.***This position requires 100% on-site support Monday - Friday.What You'll DoCollaborate with cross-functional teams to design, develop, and deploy software solutions.Write clean, efficient, and well-documented code in Python.Create unit tests and integration tests to ensure software quality and reliability.Participate in code reviews and provide feedback to other developers.Communicate project progress and status updates to stakeholders.Bid and proposal support if requested.Other duties as assigned.What We're Looking ForRequired Qualifications:An active secret clearance is required to be considered for this position.Bachelor's degree from an accredited university in Computer Science, Computer Engineering, or a related technical field is required.At least three (3) or more years of experience providing software development support to a federal/DoD program office (Navy preferred).Solid understanding of web development fundamentals (HTML, CSS, JavaScript).Proven experience as a Python programmer with a strong emphasis on Django or Flask.Experience with designing data structures and visualization algorithms.Comfortable with tracing data through the model-view-controller (MVC) architecture.Familiarity with version control systems, such as Git.Experience with data science tools and libraries like Pandas and NumPy.Strong knowledge of relational databases and SQL.Experience with software development methodologies, such as Agile or Scrum.Experience with documentation mark-up languages, such as Sphinx.Experience with unit testing (e.g., PyTest).Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.Desired Qualifications: Experience with front-end frameworks and libraries, such as Bootstrap, jQuery, AJAX.Experience with containerization technologies such as Docker.Experience with cloud computing platforms such as Azure or AWS.Experience with command line interface, batch/shell scripting.Experience with ML models, such as OCR or CNN.INDUS aims to provide a competitive compensation package, including a strong pay for performance rewards approach. The expected base pay range for this position is $80,000. – $130,000. This position is eligible to participate in our corporate 401(k) and Employee Stock Ownership Plan (ESOP) programs, and may be eligible for performance bonuses, and other rewards and benefits (see more about our compensation package and benefits offered at Culture @ INDUS | INDUS Technology). The pay range for this role considers job-related knowledge, skills, work location, education and training, and certifications. To drive fair pay practices for employees, INDUS conducts regular comparisons across our employee groups and the industry.INDUS is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Associate
          



          Employment type
        

          Full-time
        



            Job function
          

            Consulting, Engineering, and Information Technology
          



            Industries
          

          Defense and Space Manufacturing
          
















Referrals increase your chances of interviewing at INDUS Technology, Inc. by 2x

              See who you know
            







            Featured Benefits
          

            Inferred from the description for this job
          






        Medical insurance
      






        Dental insurance
      






        Vision insurance
      






        401(k)
      






        Commuter benefits
      






        Tuition assistance
      






        Disability insurance",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3831154671
1872 Consulting,Python Engineer,Entry level,"Software Engineer with a passion for API development in Python. We're in the exciting and rapidly evolving consumer healthcare industry which requires constant innovation, evaluation, and iteration. Help us simplify and personalize the pharmacy industry for users who range from early adopters to non-tech users. As a team member you will be responsible for overall development and design of key API components for company services.Typical Day:Design and develop our growing Python 3.6 based APIInterface with multiple 3rd party services and APIsHelp develop the API for an entirely new Operations Application that runs our business as well as customer facing applicationsBuild and maintain a HIPAA compliant infrastructureAs a member of the engineering team, contribute to planning and execution efforts across our applications as neededJumping in on other parts of codebase as necessaryHaving your code reviewed and participate in code reviews, standups, retros, other SCRUM activitiesRequired Skills:A Bachelors in CS or equivalent experienceAt least 2 years professional development experience in PythonKnowledge of Python web frameworks such as Django & FlaskKnowledge of user authentication, authorization & claim systems, like JWTKnowledge of REST APIsAbility to create database models that represent complicated business processesAbility to write unit tests and debug Python softwareFamiliarity with some ORM (Object Relational Mapper) librariesFamiliarity with Postgres or MysqlBright, motivated, passionate engineers who want to work with the same and are open minded about applying the best tool for the job and solving real problems for real usersBonus but not Required:Experience with Terraform, AWS, & Jenkins,Experience with SQLAlchemyExperience with Healthcare, HL7 or HIPAA Applications



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Other
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            IT Services and IT Consulting
            
















Referrals increase your chances of interviewing at 1872 Consulting by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3813097150
Node.Digital LLC,Application Developer (Python),Entry level,"Location: Arlington, VAMust have an active secret Security ClearanceNode is supporting a U.S. Government customer to provide support for onsite incident response to civilian Government agencies and critical asset owners who experience cyber-attacks, providing immediate investigation and resolution. Contract personnel perform investigations to characterize the severity of breaches, develop mitigation plans, and assist with the restoration of services.Node is seeking an Applications Developer to support this critical customer mission.Responsibilities: Designing, troubleshooting, and implementing software code for end-to-end software development Designs, develops, enhances, debugs, integrates, and implements software Troubleshoots production problems related to software applications Researches, tests, builds and coordinates the integration of new products based on user requirements Initiates action for evaluation and recommendation of application software packages, application integration, and testing tools Resolves problems with software and responds to suggestions for improvements and enhancements Implements recommendations for improving documentation and development process standardsRequirementsRequired Skills/Clearances: U.S. Citizenship Must have an active Secret clearance; TS/SCI is preferred Must be able to obtain DHS Suitability 2+to 5+ years of directly relevant experience in application development  Knowledge of secure software development lifecycle and code versioning and maintenance Experience with assessing and integrating commercial off-the-shelf (COTS) products Knowledge and familiarity to working with the installation, demonstration, test, validation, and evaluation of new and existing software, tools, methods, and software measurement technologies Must have operational experience with Python Knowledge of software application development and RESTful architecture Knowledge of data transformation and manipulation via code Experience working and developing in/with containerization software including Kubernetes and Docker Must have strong communication skills and have experience interacting with customers directly in a project environment or technical demonstration Must be able to work collaboratively across remote and physical locationsDesired Skills: Experience with two or more of the following: Python, Silk, JSON, Data Analytics, MongoDB, Elastic Search, Postgres, Ansible, Vue.js, React, HTML, Kubernetes, Docker, Podman, AWS, View Jazz Framework, Process Automation, UI Development, CI/CD knowledgeRequired Education:BS Computer Science, Computer Engineering, Computer Information Systems, Computer Systems Engineering or related degree; or HS Diploma & 4-6 years of directly relevant experience.Desired Certifications: CSSLP Sec+Company Overview:Node.Digital is an independent Digital Automation & Cognitive Engineering company that integrates best-of-breed technologies to accelerate business impact.Our Core Values help us in our mission. They include:OUR CORE VALUESIdentifying the~RIGHT PEOPLE~and developing them to their full capabilitiesOur customer’s “Mission” is our “Mission”. Our~MISSION FIRST~approach is designed to keep our customers fully engaged while becoming their trusted partnerWe believe in~SIMPLIFYING~complex problems with a relentless focus on agile delivery excellenceOur mantra is “~Simple*Secure*Speed~” in the delivery of innovative services and solutionsBenefitsWe are proud to offer competitive compensation and benefits packages to include:MedicalDentalVisionBasic LifeLong-Term DisabilityHealth Saving Account401KThree weeks of PTO10 Paid HolidaysPre-Approved Online Training



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering
          



            Industries
          

          Technology, Information and Internet
          
















Referrals increase your chances of interviewing at Node.Digital LLC by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3846313987
Next Ventures,Senior Python Engineer,Mid-Senior level,"Our agtech client is looking to hire a Senior Python Engineer to design, implement and maintain their agriculture technology platform. You will collaborate with cross-functional teams to build robust and scalable solutions.Responsibilities:Develop scalable and secure backend services and APIs to support platform.Collaborate with cross-functional teams to understand requirements and design efficient backend systems to support features being added to platform.Improve data processing pipelines.Implement and maintain data storage solutions.Participate in code reviews and contribute to improvement of development processes.Integrate vendor and customer systems.Stay updated on emerging technologies and best practices.Qualifications7+ years of software engineering experience, primarily with PythonAny exposure to agriculture or agtech industry is preferredProficiency with Python web frameworks like Django and FlaskWorking knowledge of HTML, CSS and JavaScriptFamiliarity with cloud platforms like AWS, Azure or GCPStrong understanding of API design, architecture and testingExperience with database design and optimization - relational and NoSQL databasesProblem-solving mindsetPassion for the application of technology to address challenges of sustainability



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Information Technology and Engineering
          



            Industries
          

          Agriculture, Construction, Mining Machinery Manufacturing
          
















Referrals increase your chances of interviewing at Next Ventures by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3835589638
hackajob,Python Developer,Mid-Senior level,"hackajob is looking for a skilled Python/ Full Stack Python Developer with extensive experience in the Atlassian Suite to join the growing team. The ideal candidate will have a strong background in software development, particularly in Java and/or Python, along with proficiency in utilizing Atlassian tools such as Jira, Confluence, Bitbucket, and Bamboo.  The role: Python Developer Location: Washington, DCOffer: up to $200k yr. (depending on experience) + benefits packageClearance: Must have an Active Security clearance or be eligible to get oneQualifications: Bachelor's degree in Computer Science, Engineering, or a related field.Proven experience in software development using Java and/or Python.Strong understanding of object-oriented programming principles and design patterns.Extensive hands-on experience with the Atlassian Suite, including Jira, Confluence, Bitbucket, and Bamboo.Proficiency in using Atlassian APIs and customizing workflows to meet specific project requirements.Solid understanding of agile methodologies and practices.Excellent problem-solving and analytical skills, with a keen attention to detail.Effective communication and collaboration skills, with the ability to work well in a team environment.Experience with continuous integration/continuous deployment (CI/CD) pipelines is a plus.Familiarity with other programming languages and frameworks, such as JavaScript, Spring, or Django, is beneficial.If you're interested in finding out more about this fantastic opportunity, please get your application in and we can arrange a call.hackajob is a recruitment platform that will match you with relevant roles based on your preferences and in order to be matched with the roles you need to create an account withus. *This role requires you to be based in the US*



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Consulting and Information Technology
          



            Industries
          

          Software Development
          
















Referrals increase your chances of interviewing at hackajob by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3840431697
MindPal,Python Developer (internship),Internship,"Summer Internship Opportunity - Python Developer at Mindpal (In collaboration with Sky Gate) Hello!We are on the lookout for 2-3 passionate individuals ready to embark on a 3-month unpaid summer internship as Python Developers. This internship provides an excellent opportunity to gain hands-on experience and practical knowledge in the evolving tech industry, offering a viable alternative to expensive courses or boot camps.At the end of the internship, there is a high probability of transitioning to a paid Junior position within the team, thus kick-starting your career in the tech industry.Don't miss this chance to be part of a team building applications with state-of-the-art AI tools!Responsibilities:Maintain and develop the backend of a recruitment platform based on the Django Rest FrameworkWrite unit tests for new functionalitiesDeliver readable and transparent codeBuild dashboards based on SQL queries and process the resultsHave direct contact with the clientRequirements:Enthusiasm for learning and an open mindKnowledge of Python/Django and an interest in AI/LLMCandidates ready to work from our office in GliwiceWe look forward to hearing from you!RequirementsResponsibilities



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Internship
          



            Employment type
          

            Internship
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at MindPal by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3703095059
MindPal,Python Developer,Entry level,"We are looking for a mid/senior Python DeveloperResponsibilitiesMaintenance and development of the backend of an e-commerce application based on Django Rest Framework Writing unit tests for new functionalities Delivering readable and transparent code Building dashboards based on SQL queries and processing the results Direct contact with the client RequirementsMinimum 3 years of experience working with Python Knowledge of Django, Django Rest Framework, Docker, Docker-compose, relational databases (e.g. PostgreSQL), Flask, Redis, Celery, postgresql English at least B2 Understanding the right patterns and algorithms Practical analytical skills Nice to have: Kubernetes, graphql, AWS / Google Cloud as well as Agile / SCRUM / Kanban We OfferB2B contract type Full-time job Remote and flexible working hours



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at MindPal by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3764602528
Stellar IT Solutions,Python Developer,Entry level,"Python Developer role.  Bill rate: $60/hr. on W2  Location : Remote    Required Qualifications: Proficient Python coding abilities.Extensive hands-on experience with AWS services such as S3, Lambda, and EMR. Preferred Qualifications: 7-8 years or more of related experience.Familiarity with Big Data technologies like PySpark and EMR, although the role primarily focuses on Python application development rather than data engineering.Excellent communication skills.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Contract
          



              Job function
            

              Information Technology
            



              Industries
            

            IT Services and IT Consulting
            
















Referrals increase your chances of interviewing at Stellar IT Solutions by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3846614996
Coforge,Senior Python API Developer,Mid-Senior level,"Direct message the job poster from Coforge



              
          
        Ravi Kumar Singh







            
        Ravi Kumar Singh




              
        Empowers people to reach their full potential ! We are hiring.....
      
            

 










Fulltime Position: Senior Python API Developer Location : NYC, NY (Hybrid)Duration : Fulltime Key Skills:   Python (Flask, Django, NumPy, Pandas, SQLAlchemy), SQL (Snowflake, MSSQL), RESTful APIs, XML or JSON, AWS, Typescript, HTML, CSS, Power BI, JavaScript, AWS Services, ORM, Linux, Git, Web Deployment, Angular, SSL, and JWT. Job Description:We seek a Senior Python API Developer with advanced expertise in Interface development and a strong focus on problem-solving and secure, standards-compliant coding. The candidate should be proficient in both Python, AWS and cloud database technologies.Ideal Candidate:4+ years of object-oriented programming experience (C/C++, Python, Java, etc.). A Degree in Computer Science, Engineering, Mathematics, similar field of study or equivalent work experience.An understanding of software engineering principles and/or extensive systems engineering experience.Understanding of financial markets, instruments, and data analysis.Experience solving problems in an enterprise real-time distributed system.Familiarity with SQL and databases.Strong Python and AWS skills. Experience in Django/Flask REST framework. Proficiency working on both Windows and Linux Environments.Experience with CI/CD, BitBucket, Jenkins or Git.Outstanding communication skills.Experience with building message-oriented middleware, with emphasis on a publisher/subscriber model.Experience in third party API integrations with Trading and Order Management Systems.



        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



            Employment type
          

            Full-time
          



              Job function
            

              Engineering
            



              Industries
            

            Insurance
            
















Referrals increase your chances of interviewing at Coforge by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3822101391
Hippocratic AI,Senior Backend Engineer (AI),Mid-Senior level,"As a Senior Backend Engineer in charge of the Retrieval System, you will have the opportunity to work with a talented team of engineers, data scientists, and healthcare professionals to develop cutting-edge technologies that transform the healthcare industry. You will be responsible for developing and maintaining the backend infrastructure that powers our core Healthcare AI platform's retrieval system. You will work closely with data scientists, machine learning engineers, and product managers to build scalable and reliable systems that retrieve and process vast amounts of healthcare data to train and operate our AI models.Key Responsibilities:Design, develop, and maintain backend infrastructure to support the retrieval and processing of healthcare data for our AI modelsDevelop and maintain a high-performance retrieval system based on vector databasesCollaborate with data scientists and machine learning engineers to design and implement scalable data pipelinesBuild and maintain APIs and microservices that enable efficient and reliable data retrieval and processingDevelop and implement robust data security and privacy measures to protect sensitive patient informationMonitor and optimize the performance of backend systems to ensure maximum efficiency and uptimeWork closely with product managers to understand customer needs and requirements and translate them into technical solutionsMentor and provide technical guidance to junior engineersQualifications:Bachelor's or Master's degree in Computer Science, Computer Engineering, or a related fieldAt least 5 years of professional experience in backend developmentStrong proficiency in one or more programming languages such as Python, Java, or ScalaExpertise in vector database technology and designing retrieval systems for high-performance machine learning applicationsKnowledge of data modeling, database design, and SQLExperience with cloud computing platforms such as AWS, GCP, or AzureFamiliarity with DevOps principles and tools such as Docker, Kubernetes, and CI/CD pipelinesStrong problem-solving skills and ability to work independently and collaboratively in a team environmentExperience with technologies such as Langchain is a plus Excellent communication and interpersonal skillsAbout Hippocratic AIHippocratic AI is building a safety focused large language model (LLM) for the healthcare industry. We believe that generative AI has the potential to massively increase healthcare access the world over but has to be built and tested responsibly. Like the Hippocratic oath that doctors take we are building a model that aims to “Do no Harm.”
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Mid-Senior level
          



          Employment type
        

          Full-time
        



            Job function
          

            Engineering and Information Technology
          



            Industries
          

          Hospitals and Health Care
          
















Referrals increase your chances of interviewing at Hippocratic AI by 2x

              See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3781135749
ICONMA,Python Developer,Entry level,"Description:Position SummaryEnterprise Capital Management technology team is looking for a strong individual performer with ability to work in a fast paced agile environment. The objective of our team is to ensure client and its subsidiaries are compliant from a regulatory capital reporting perspective under the Basel rules in a new stable, scalable and sustainable capital reporting and analysis platform. The project elaborates requirements for data sourcing elements for calculating risk weighted assets, details business logic for computing these financial elements and defines process-flow and formulas for generating Basel rules-based capital ratios. These requirements are captured for various entities at client including bank holding company (BHC) and related depository institution entities (banks).This role will be responsible for hands-on application development to support the current and target process, as well as partnering with the multiple Technology teams to implement the target architecture and migration to strategic platform. Typically requires 10+ years of applicable experience.Required Skills:8+ years of experience in Python development experience is a must4+ years of experience in big data technologies like Spark, Hadoop2+ years of SQL programming experience preferably with databases such as Oracle ExadataKnowledge of performance tuning data intensive applicationsExpertise in performance profiling, ability to identify performance improvements and memory optimizationsStrong coding, debugging, and analytical skillsExperience in large scale enterprise application design and implementationCreative individual with a track record of working on and implementing innovative tech based solutionsExcellent communication skillsDesired Skills:Degree from outstanding universityBackground in capital calculationsBS/MS in Computer Science, Engineering, or any quantitative disciplineKnowledge and/or experience working within the Hadoop or other big data distributed ecosystemKnowledge of cloud computing or distributed computing2+ years of Java development is preferredExperience working with agile methodologies and SDLC processes would be preferred1+ years of UNIX scripting experience and unit test mock frameworks would be preferredExperience in Quartz (Internal bank platform) would be preferred but optionalAs an equal opportunity employer, ICONMA provides an employment environment that supports and encourages the abilities of all persons without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. 
        


        
            Show more
          

          



        
            Show less
          

          

 




            Seniority level
          

            Entry level
          



            Employment type
          

            Contract
          



              Job function
            

              Engineering and Information Technology
            



              Industries
            

            Staffing and Recruiting
            
















Referrals increase your chances of interviewing at ICONMA by 2x

                See who you know",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3827956161
